Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D31","LED_Small","LED_D3.0mm-Pretty",66.176750,-132.901000,0.000000,top
"D32","LED_Small","LED_D3.0mm-Pretty",66.176750,-128.329000,0.000000,top
"D33","LED_Small","LED_D3.0mm-Pretty",66.176750,-123.757000,0.000000,top
"MX1","MX-NoLED","MXOnly-1U-NoLED",33.125000,-61.400000,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-NoLED",33.125000,-80.450000,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-NoLED",33.125000,-99.500000,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-NoLED",33.125000,-118.550000,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-NoLED",33.125000,-137.600000,0.000000,top
"MX6","MX-NoLED","MXOnly-1U-NoLED",52.175000,-61.400000,0.000000,top
"MX7","MX-NoLED","MXOnly-1U-NoLED",52.175000,-80.450000,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-NoLED",52.175000,-99.500000,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-NoLED",52.175000,-118.550000,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-NoLED",52.175000,-137.600000,0.000000,top
"MX11","MX-NoLED","MXOnly-1U-NoLED",80.750000,-61.400000,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-NoLED",80.750000,-80.450000,0.000000,top
"MX13","MX-NoLED","MXOnly-1U-NoLED",80.750000,-99.500000,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-NoLED",80.750000,-118.550000,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-NoLED",80.750000,-137.600000,0.000000,top
"MX16","MX-NoLED","MXOnly-2U-ReversedStabilizers-NoLED",90.275000,-137.600000,0.000000,top
"MX17","MX-NoLED","MXOnly-1U-NoLED",99.800000,-61.400000,0.000000,top
"MX18","MX-NoLED","MXOnly-1U-NoLED",99.800000,-80.450000,0.000000,top
"MX19","MX-NoLED","MXOnly-1U-NoLED",99.800000,-99.500000,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-NoLED",99.800000,-118.550000,0.000000,top
"MX21","MX-NoLED","MXOnly-1U-NoLED",99.800000,-137.600000,0.000000,top
"MX22","MX-NoLED","MXOnly-1U-NoLED",118.850000,-61.400000,0.000000,top
"MX23","MX-NoLED","MXOnly-1U-NoLED",118.850000,-80.450000,0.000000,top
"MX24","MX-NoLED","MXOnly-1U-NoLED",118.850000,-99.500000,0.000000,top
"MX25","MX-NoLED","MXOnly-1U-NoLED",118.850000,-118.550000,0.000000,top
"MX26","MX-NoLED","MXOnly-1U-NoLED",118.850000,-137.600000,0.000000,top
"MX27","MX-NoLED","MXOnly-1U-NoLED",137.900000,-61.400000,0.000000,top
"MX28","MX-NoLED","MXOnly-1U-NoLED",137.900000,-80.450000,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-NoLED",137.900000,-99.500000,0.000000,top
"MX30","MX-NoLED","MXOnly-1U-NoLED",137.900000,-118.550000,0.000000,top
"MX31","MX-NoLED","MXOnly-1U-NoLED",137.900000,-137.600000,0.000000,top
"MX32","MX-NoLED","MXOnly-2U-ReversedStabilizers-NoLED",137.900000,-89.975000,90.000000,top
"MX33","MX-NoLED","MXOnly-2U-ReversedStabilizers-NoLED",137.900000,-128.075000,90.000000,top
